MW
MVar
Speed
FlowGenCwInlet2StatorAirCooler
TempGenCwAirCoolerOut
TempGenCwAirCoolerIn
StatorHotAirTemp1
StatorColdAirTemp1
StatorHotAirTemp2
StatorColdAirTemp2
StatorHotAirTemp3
StatorColdAirTemp3
StatorHotAirTemp4
StatorColdAirTemp4
StatorHotAirTemp5
StatorColdAirTemp5
StatorHotAirTemp6
StatorColdAirTemp6
StatorHotAirTemp7
StatorColdAirTemp7
StatorHotAirTemp8
StatorColdAirTemp8
StatorHotAirTemp9
StatorColdAirTemp9
StatorHotAirTemp10
StatorColdAirTemp10
StatorHotAirTemp11
StatorColdAirTemp11
StatorHotAirTemp12
StatorColdAirTemp12
